Frequency ranking,Lexeme,Standard Orthography (in newspapers),Standard Reading (in Hiragana),Part of speech
269,経済,経済,けいざい,Noun
272,大学,大学,だいがく,Noun
273,父,父,ちち,Noun
274,店,店,みせ,Noun
275,別,別,べつ,Noun
276,口,口,くち,Noun
278,質問,質問,しつもん,Noun
,掛かる,かかる,かかる,Verb
280,何故,なぜ,なぜ,Adverb
281,現在,現在,げんざい,Noun
282,先ず,まず,まず,Adverb
,変わる,変わる,かわる,Verb
285,市,市,し,Noun
286,例えば,例えば,たとえば,Adverb
,読む,読む,よむ,Verb
288,中国,中国,ちゅうごく,Noun
289,語,語,ご,Noun
290,水,水,みず,Noun
,買う,買う,かう,Verb
292,詰まり,つまり,つまり,Adverb
293,電話,電話,でんわ,Noun
294,二千,二千,にせん,Noun
294,少ない,少ない,すくない,Adjective (-i)
,生きる,生きる,いきる,Verb
298,気持ち,気持ち,きもち,Noun
299,全く,全く,まったく,Adverb
300,結果,結果,けっか,Noun
301,主義,主義,しゅぎ,Noun
302,側,側,がわ,Noun
303,地,地,ち,Noun
305,長い,長い,ながい,Adjective (-i)
,切る,切る,きる,Verb
307,どんな,どんな,どんな,Adjectival Noun
308,今日,今日,きょう,Noun
309,一寸,ちょっと,ちょっと,Adverb
309,教育,教育,きょういく,Noun
311,県,県,けん,Noun
,立つ,立つ,たつ,Verb
313,彼の,あの,あの,Determiner
314,道,道,みち,Noun
315,トウキョウ,トウキョウ,とうきょう,Noun
316,何れ,いずれ,いずれ,Pronoun
317,二百,二百,にひゃく,Noun
318,好き,好き,すき,Adjectival Noun
319,或る,ある,ある,Determiner
320,殆ど,ほとんど,ほとんど,Noun
321,山,山,やま,Noun
323,帰る,帰る,かえる,Verb
324,話す,話す,はなす,Verb
325,風,風,かぜ,Noun
326,みたい,みたい,みたい,Adjectival Noun
327,若し,もし,もし,Adverb
328,場,場,ば,Noun
329,人々,人々,ひとびと,Noun
330,姿,姿,すがた,Noun
332,一緒,一緒,いっしょ,Noun
333,状態,状態,じょうたい,Noun
334,自然,自然,しぜん,Noun
335,特に,特に,とくに,Adverb
,飲む,飲む,のむ,Verb
338,部屋,部屋,へや,Noun
339,部分,部分,ぶぶん,Noun
340,実,実,じつ,Noun
341,示す,示す,しめす,Verb
342,学,学,がく,Noun
343,新しい,新しい,あたらしい,Adjective (-i)
344,多く,多く,おおく,Noun
345,関する,関する,かんする,Verb
346,活動,活動,かつどう,Noun
347,与える,与える,あたえる,Verb
348,事件,事件,じけん,Noun
349,勿論,もちろん,もちろん,Adverb
350,既に,すでに,すでに,Adverb
351,利用,利用,りよう,Noun
352,一般,一般,いっぱん,Noun
353,一番,一番,いちばん,Adverb
355,最初,最初,さいしょ,Noun
356,実際,実際,じっさい,Noun
357,確か,確か,たしか,Adjectival Noun
358,地域,地域,ちいき,Noun
360,理由,理由,りゆう,Noun
361,説明,説明,せつめい,Noun
362,身,身,み,Noun
363,政治,政治,せいじ,Noun
364,頂く,いただく,いただく,Verb
365,神,神,かみ,Noun
366,場所,場所,ばしょ,Noun
368,戻る,戻る,もどる,Verb
369,早い,早い,はやい,Adjective (-i)
370,評価,評価,ひょうか,Noun
371,普通,普通,ふつう,Noun
372,開く,開く,ひらく,Verb
373,音,音,おと,Noun
374,死ぬ,死ぬ,しぬ,Verb
375,従う,従う,したがう,Verb
376,図,図,ず,Noun
377,止める,やめる,やめる,Verb
378,願う,願う,ねがう,Verb
381,甘い,甘い,あまい,Adjective (-i)
383,若い,若い,わかい,Adjective (-i)
384,内容,内容,ないよう,Noun
385,条,条,じょう,Noun
387,歩く,歩く,あるく,Verb
388,待つ,待つ,まつ,Verb
389,欲しい,欲しい,ほしい,Adjective (-i)
390,労働,労働,ろうどう,Noun
391,自由,自由,じゆう,Noun
392,違い,違い,ちがい,Noun
392,外,外,そと,Noun
394,求める,求める,もとめる,Verb
395,当時,当時,とうじ,Noun
396,初めて,初めて,はじめて,Adverb
397,自身,自身,じしん,Noun
399,何方,どちら,どちら,Pronoun
400,意識,意識,いしき,Noun
401,事業,事業,じぎょう,Noun
402,深い,深い,ふかい,Adjective (-i)
403,重要,重要,じゅうよう,Adjectival Noun
404,結婚,結婚,けっこん,Noun
405,状況,状況,じょうきょう,Noun
406,文化,文化,ぶんか,Noun
407,使用,使用,しよう,Noun
410,夜,夜,よる,Noun
411,可成,かなり,かなり,Adverb
412,理解,理解,りかい,Noun
413,戦争,戦争,せんそう,Noun
413,制度,制度,せいど,Noun
415,家族,家族,かぞく,Noun
416,認める,認める,みとめる,Verb
417,会う,会う,あう,Verb
418,最近,最近,さいきん,Noun
419,程度,程度,ていど,Noun
420,色々,いろいろ,いろいろ,Adverb
423,続く,続く,つづく,Verb
424,八百,八百,はっぴゃく,Noun
426,型,型,かた,Noun
428,以外,以外,いがい,Noun
428,個人,個人,こじん,Noun
430,村,村,むら,Noun
432,例,例,れい,Noun
433,親,親,おや,Noun
434,歴史,歴史,れきし,Noun
435,向かう,向かう,むかう,Verb
436,中心,中心,ちゅうしん,Noun
437,生まれる,生まれる,うまれる,Verb
438,最も,最も,もっとも,Adverb
439,目的,目的,もくてき,Noun
440,元,元,もと,Noun
441,御前,お前,おまえ,Pronoun
442,感,感,かん,Noun
443,昭和,昭和,しょうわ,Noun
444,見せる,見せる,みせる,Verb
445,迚も,とても,とても,Adverb
446,環境,環境,かんきょう,Noun
447,政府,政府,せいふ,Noun
449,技術,技術,ぎじゅつ,Noun
450,此方,こちら,こちら,Pronoun
451,当たる,当たる,あたる,Verb
452,終わる,終わる,おわる,Verb
453,其々,それぞれ,それぞれ,Noun
454,最後,最後,さいご,Noun
456,行動,行動,こうどう,Noun
458,色,色,いろ,Noun
459,一方,一方,いっぽう,Noun
460,基本,基本,きほん,Noun
461,写真,写真,しゃしん,Noun
462,感じ,感じ,かんじ,Noun
463,乗る,乗る,のる,Verb
465,残る,残る,のこる,Verb
466,事実,事実,じじつ,Noun
467,名前,名前,なまえ,Noun
468,運動,運動,うんどう,Noun
469,足,足,あし,Noun
470,述べる,述べる,のべる,Verb
471,昔,昔,むかし,Noun
472,十分,十分,じゅうぶん,Adjectival Noun
473,君■代名詞,君,きみ,Pronoun
474,もっと,もっと,もっと,Adverb
475,変化,変化,へんか,Noun
476,保険,保険,ほけん,Noun
477,地方,地方,ちほう,Noun
478,世紀,世紀,せいき,Noun
479,管理,管理,かんり,Noun
482,新聞,新聞,しんぶん,Noun
482,客,客,きゃく,Noun
484,国民,国民,こくみん,Noun
485,精神,精神,せいしん,Noun
486,娘,娘,むすめ,Noun
487,全体,全体,ぜんたい,Noun
487,病院,病院,びょういん,Noun
489,御座る,ござる,ござる,Verb
490,我々,我々,われわれ,Pronoun
491,立てる,立てる,たてる,Verb
491,調査,調査,ちょうさ,Noun
494,必ず,必ず,かならず,Adverb
497,経験,経験,けいけん,Noun
498,論,論,ろん,Noun
499,効果,効果,こうか,Noun
500,答える,答える,こたえる,Verb
502,働く,働く,はたらく,Verb
